"# of Use","使用次数"
"%s Item(s)","%s件商品"
"(Copy data from: %s)","(复制数据自: %s)"
"(Will make search for the query above return results for this search.)","(该搜索将以上面返回的结果来查询。)"
"* Required Fields","必填栏目"
"-- Please Select --","-- 请选择 --"
"A name is required","名字必填"
"ALL GROUPS","所有分组"
"Action","操作"
"Add Attribute","增加属性"
"Add Design Change","添加界面设计"
"Add Group","增加分组"
"Add Items to Cart","加到购物车"
"Add New","增加"
"Add New Attribute","增加新属性"
"Add New Attribute Set","增加新属性组合"
"Add New Group","增加新分组"
"Add New Images","增加新图片"
"Add New Option","添加选择项"
"Add New Row","添加行"
"Add New Search Term","增加新搜索关键词"
"Add New Set","增加新组合"
"Add Option","增加选项"
"Add Product","增加商品"
"Add Product To Websites","增加商品到网站"
"Add Root Category","添加根目录"
"Add Subcategory","添加子目录"
"Add Tax","添加税"
"Add Tier","增加优惠层次"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to My Wishlist","加入我的收藏"
"Add to Wishlist","加入收藏"
"Additional Information","附加信息"
"All","所有"
"All Product Types","所有商品类型"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","所有商品在这一组都将被删除！您确定要删除此属性组?"
"Allow HTML-tags on Front-end","允许前台使用HTML标记"
"Allowed File Extensions","允许文件后缀"
"Allowed file extensions to upload","允许上传文件后缀"
"Amount","数量"
"Apply To","应用于"
"Apply To Configurable/Grouped Product","应用于可设置/组合商品"
"Approved","已批准"
"Are you sure you want to delete this category?","您确认要删除该分类目录吗？"
"Are you sure you would like to remove all item from compare products?","您确认要删除所有比较商品吗？"
"Are you sure you would like to remove this item from the compare products?","您确认要从比较商品中删除本商品吗？"
"Are you sure?","您确认吗？"
"As low as:","低至："
"Assign","指定"
"Assign product link","指定商品链接"
"Assign product to category","指定商品类别"
"Assigned Products","指定商品"
"Associated Products","配置组合"
"Attrib. Set Name","属性组"
"Attribute ""%s"" is required","属性 ""%s"" 为必选项"
"Attribute Code","属性代码"
"Attribute Information","属性信息"
"Attribute Label","属性标签"
"Attribute Model","属性型号"
"Attribute Name:","属性名称："
"Attribute Properties","属性参数"
"Attribute Set","选择属性组"
"Attribute group with the \"/name/\" name already exists","名为 \"/name/\" 的属性组已存在"
"Attribute model not defined","属性型号未定义"
"Attribute with the same code already exists","属性代码已存在"
"Attributes","商品属性"
"Attrribute names can be specified per store.","属性名可以被指定的商店."
"Autogenerate","自动生成"
"Availability","库存"
"Availability:","库存："
"Availability: In stock.","库存：有货"
"Availability: Out of stock.","库存：缺货。"
"Back","返回"
"Backend Model","后台型号"
"Backend Table","后台表"
"Backend Table Title","后台表标题"
"Backorders","缺货订单"
"Base directory to upload image file is not specified","没有设定上传图片文件的基准目录"
"Based On","基于"
"Best Value","超值"
"Block after Info Column","产品信息栏下方"
"Bottom/Left","左下"
"Bottom/Right","右下"
"Browse By","查看"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Buy %s for %s","%s优惠价%s"
"Buy %s for %s each","%s每件%s"
"Can be used only with catalog input type Dropdown","仅用于目录下拉菜单"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","仅用于目录下拉菜单、多重选择和价格"
"Can\'t create image.","Can\'t create image."
"Cart Item Attribute","购物车商品属性"
"Catalog","商品目录分类"
"Catalog Input Type for Store Owner","目录输入类型"
"Catalog Inventory","目录库存"
"Catalog Price Scope","目录价格范围"
"Catalog Section","目录单元"
"Catalog, Search","目录，搜索"
"Catalog URL Rewrites","目录URL重写"
"Categories","分类"
"Categories Sitemap","分类网站"
"Category","分类"
"Category API","目录 API"
"Category Data","分类数据"
"Category Navigation:","商品分类："
"Category Products","分类商品"
"Category Top Navigation","分类顶部导航"
"Category URL Suffix","分类网址后缀"
"Category attributes API","分类属性的API"
"Category delete error","删除分类出错"
"The category has been deleted.","分类已删除"
"Category move error","移动分类出错"
"Category must be instance of Mage_Catalog_Model_Category","分类必须是 Mage_Catalog_Model_Category 实例"
"Category saved","分类已保存"
"Change","修改"
"Change status","修改状态"
