"* Required Fields","* 必填栏目"
"A new password has been sent.","新的密码已经发出"
"Account Dashboard","账户中心"
"Account Information","帐户信息"
"Account Sharing Options","帐户共享选项"
"Account information was successfully saved","成功保存帐户信息"
"Action","操作"
"Customer will stay on the current page if 'No' is selected.","如果选中'否'，客户将停留在当前页面。"
"Address Templates","地址模版"
"JavaScript Template","JavaScript 模版"
"Add New Address","增加新的地址"
"Add New Customer","增加新的会员"
"Add New Customer Group","增加新的会员分组"
"Added From","加自"
"Additional Address Entries","其它地址项"
"Address","地址"
"Address Book","地址簿"
"Address Information","地址信息"
"Addresses","地址"
"Admin","管理员"
"All","所有"
"All Store Views","所有商店界面"
"All Countries","所有国家"
"Always optional.","总是可选"
"Amount","金额"
"Approved","已批准"
"Are you sure that you want to remove this item?","您确认要删除该项目吗？"
"Are you sure you want to cancel adding of this address?","您确认要取消增加该地址吗？"
"Are you sure you want to delete this address?","您确认要删除该地址吗？"
"Are you sure?","您确认吗？"
"Array of Entity collections is expected","需要实体组合的数组"
"Assign a Customer Group","指定客户分组"
"Average Sale","订单平均金额"
"Back","返回"
"Back to Login","返回登录"
"Bad request.","错误的请求。"
"Bill to Name","账单收件人"
"Billing Information","账单信息"
"Bought From","购买自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","注册您自己的帐户，结帐方便迅速，而且可以保存多个送货地址、查看订单状态等。"
"CSV","CSV"
"Can\'t save address","无法保存地址"
"Can\'t save customer","无法保存会员"
"Can\'t share customer accounts global.","无法全局共享客户帐户。"
"Cancel","取消"
"Change Account Password","修改帐户密码"
"Change Billing Address","修改账单地址"
"Change Password","修改密码"
"Change Shipping Address","修改配送地址"
"City","城市"
"Company","公司"
"Config","设置"
"Confirm New Password","确认新密码"
"Confirm Password","确认密码"
"Confirmation Link Email","确认连接邮件"
"Confirmed","已确认"
"Contact Information","联系信息"
"Continue Shopping","继续购物"
"Country","国家"
"Create","Create"
"Create New Account Options","新帐户选项"
"Create New Customer Account","新建客户帐号"
"Create Order","创建订单"
"Create an Account","创建帐号"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","当前密码"
"Customer","会员"
"Customer Addresses","会员地址"
"Customer Api","Customer Api"
"Customer Configuration","会员设置"
"Customer Group","会员分组"
"Customer Group was successfully deleted","成功删除会员分组"
"The customer group has been saved.","成功保存会员分组"
"Customer Groups","会员分组"
"Customer Information","会员信息"
"Customer Login","登录"
"Customer Since","注册日期"
"Customer View","会员界面"
