"(eg: domain.com/identifier)","(例如：domain.com/identifier)"
"Action","操作"
"Add New Block","增加新页面区"
"Add New Page","增加新页面"
"All countries","所有国家"
"Block Information","方框信息"
"Block Title","方框标题"
"The block has been deleted.","成功删除方框"
"The block has been saved.","成功保存方框"
"CMS","页面管理"
"CMS Static Block","页面静态区块"
"CMS Home Page","CMS 首页"
"CMS No Cookies Page","CMS 无缓存页面"
"CMS No Route Page","CMS 缺失页面"
"CMS Page Link","指向CMS页面的链接"
"Content","内容"
"Custom Design","定制设计"
"Custom Theme","自定义主题"
"Custom Theme From","自定义主题自"
"Custom Theme To","自定义主题到"
"Customer Tax Class Information","自定义税率信息"
"Date Created","创建日期"
"Delete Block","删除方框"
"Delete Page","删除页面"
"Description","描述"
"Disabled","关闭"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Block","修改方框"
"Edit Block '%s'","修改方框'%s'"
"Edit Page","修改页面"
"Edit Page '%s'","修改页面'%s'"
"Enabled","启用"
"General Information","基本信息"
"Go to Home Page","转到首页"
"Home","首页"
"Identifier","标识符"
"Keywords","关键字"
"Last Modified","最后修改"
"Layout","版面"
"Layout Update XML","版面更新XML"
"Manage Pages","静态页面管理"
"Meta Data","Meta 信息"
"Meta Description","Meta 描述"
"Meta Keywords","Meta 关键字"
"New Block","新方框"
"New Page","新页面"
"The page URL key cannot consist only of numbers.","页面标识符不能只含数字。"
"Page Identifier for specified store already exist.","输入的商店页面标识符已存在。"
"Page Information","页面信息"
"Page Status","页面状态"
"Page Title","页面标题"
"The page has been deleted.","成功删除页面"
"The page has been saved.","成功保存页面"
"Poll Manager","投票管理"
"Preview","预览"
"Product Tax Class Information","商品税率信息"
"Redirect to CMS-page if Cookies are Disabled","如果缓存不可用，重定向到CMS-页"
"SEF URL Identifier","搜索引擎友好网址的标识符"
"Save Block","保存方框"
"Save Page","保存页面"
"Show Breadcrumbs for CMS Pages","显示CMS页面导航条"
"Show notice if JavaScipt is disabled","如果 JavaScipt 不能使用，显示提示"
"Static Blocks","静态页面区管理"
"Status","状态"
"Store View","商店界面"
"A block identifier with the same properties already exists in the selected store.","标识符已存在"
"The page you are trying to save no longer exists","要保存的页面不存在"
"This block no longer exists","该方框不存在"
"This page no longer exists","该页面不存在"
"Title","标题"
"Unable to find a block to delete","没有找到要删除的方框"
"Unable to find a page to delete","没有找到要删除的页面"
"News","新闻"
"No news yet...","还没有新闻..."
"RSS Feed","RSS订阅"
"Learn more...","显示全部..."
"Back to list","返回列表页"
"Manage News","管理新闻"
"Save News","保存新闻"
"Delete News","删除"
"Edit News '%s'","编辑新闻 '%s'"
"Add News","添加新闻"
"News Manager","新闻管理"
"News does not exist","新闻不存在"
"News was successfully saved","新闻被成功保存"
"Unable to find news to save","找不到新闻"
"News was successfully deleted","成功删除新闻"
"Please select news","请选择新闻"
"Item Information","商品信息"
"Enable News","激活新闻"	
"Enable RSS Feed","Enable RSS Feed"
"Limit of short description","简述限制"
"Number of characters for the short description (0 for no limit)","Number of characters for the short description (0 for no limit)"
"News per page","新闻每页"
"Number of news per page (0 for no limit)","Number of news per page (0 for no limit)"
"of","of"
"First","第一"
"Previous","上一条"
"Next","下一条"
"Last","最新"
"Delete Image","删除图片"
"URL Key","设置URL"
"Relative to Website Base URL","相对于网站URL"
"Content Heading","内容标题"
"Custom Design From","自定义设计开始日期"
"Custom Design To","自定义设计结束日期"
"Custom Layout","自定义布局"
"Custom Layout Update XML","自定义布局更新XML"
"Show Notice if JavaScript is Disabled","如果JavaScript不可用，显示提示信息"
"Media Storage","多媒体储存"
"Create Folder...","创建文件夹..."
"Delete File","删除文件"
"Insert File","插入文件"
"Delete Folder","删除文件夹"
