"API Password","API 密码"
"API Signature","API 签名"
"API User Name","API 用户名"
"Billing Information","账单信息"
"Business Account","公司帐户"
"Business Name","公司名称"
"Change Payment Method","修改支付方式"
"Change Shipping Address","修改配送地址"
"Credit Card Types","信用卡类型"
"Debug Flag","调试标记"
"Edit Shopping Cart","修改购物车"
"Enabled","激活"
"Items in Your Shopping Cart","购物车中商品"
"New order status","新订单状态"
"PayPal Account","PayPal 帐户"
"PayPal Email","PayPal 邮件"
"Payment Action","支付操作"
"Payment Method","支付方式"
"Payment from Specific countries","从指定国家支付"
"Payment from applicable countries","从适用国家支付"
"Paypal Logo Image URL","Paypal Logo Image URL"
"Paypal URL","Paypal URL"
"Place an Order","下订单"
"Please select a shipping method...","请选择配送方式..."
"Price","价格"
"Product Name","商品名称"
"Proxy Host","代理服务器主机"
"Proxy Port","代理服务器端口"
"Qty","数量"
"Review Order","查阅订单"
"Sandbox Flag","沙盒标记"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价。"
"Sort order","排序"
"Submitting order information...","提交订单信息..."
"Subtotal","小计"
"Title","标题"
"Transaction Type","交易类型"
"Type","类型"
"Update Shipping Method","更新配送方式"
"Use Proxy","使用代理服务器"
"Website Payments Pro (Express, Direct)","Website Payments Pro (快速结帐，直接付款)"
"Website Payments Standard","Website Payments Standard"
"You will be redirected to PayPal website when you place an order.","下订单时，会转向PayPal网站。"
"You will be redirected to paypal in a few seconds.","几秒后，将转向PayPal。"
"Your billing address will be ignored and you will be redirected to PayPal website","不采用您的账单地址，将转向PayPal网站"
